roaming_destination_id,service_provider,country,roaming_destination_name,mcc,remarks,created_at,updated_at
64,uMobile,HongKong,HongKong: H3G,454,N/A,04/06/2020 14:33,04/06/2020 14:33
72,uMobile,Macau,Macau: H3G,455,N/A,04/06/2020 14:33,04/06/2020 14:33
74,uMobile,Cambodia,Cambodia: Smart,456,N/A,04/06/2020 14:33,04/06/2020 14:33
75,uMobile,Laos,Laos: Lao Telecom,457,N/A,04/06/2020 14:33,04/06/2020 14:33
79,uMobile,China,China: ChinaMobile,460,N/A,04/06/2020 14:33,04/06/2020 14:33
81,uMobile,China,China: Unicom,460,N/A,04/06/2020 14:33,04/06/2020 14:33
82,uMobile,Taiwan,Taiwan: FET,466,N/A,04/06/2020 14:33,04/06/2020 14:33
83,uMobile,Taiwan,Taiwan: Chunghwa,466,N/A,04/06/2020 14:33,04/06/2020 14:33
87,uMobile,Malaysia,Malaysia: Mi3G-UMobile,502,N/A,04/06/2020 14:33,04/06/2020 14:33
89,uMobile,Malaysia,Malaysia: Celcom,502,N/A,04/06/2020 14:33,04/06/2020 14:33
92,uMobile,Australia,Australia: Vodafone,505,N/A,04/06/2020 14:33,04/06/2020 14:33
93,uMobile,Indonesia,Indonesia: Indosat,510,N/A,04/06/2020 14:33,04/06/2020 14:33
97,uMobile,Philippines,Philippines: Smart,515,N/A,04/06/2020 14:33,04/06/2020 14:33
99,uMobile,Thailand,Thailand: AIS,520,N/A,04/06/2020 14:33,04/06/2020 14:33
103,uMobile,Singapore,Singapore: Starhub,525,N/A,04/06/2020 14:33,04/06/2020 14:33
105,uMobile,NewZealand,NewZealand: Vodafone,530,N/A,04/06/2020 14:33,04/06/2020 14:33
107,uMobile,Egypt,Egypt: Orange,602,N/A,04/06/2020 14:33,04/06/2020 14:33
111,uMobile,Ghana,Ghana: Vodafone,620,N/A,04/06/2020 14:33,04/06/2020 14:33
113,uMobile,CongoDR,CongoDR: Vodafone,630,N/A,04/06/2020 14:33,04/06/2020 14:33
116,uMobile,Tanzania,Tanzania: Vodafone,640,N/A,04/06/2020 14:33,04/06/2020 14:33
117,uMobile,Mozambique,Mozambique: Vodafone,643,N/A,04/06/2020 14:33,04/06/2020 14:33
118,uMobile,Lesotho,Lesotho: Vodafone,651,N/A,04/06/2020 14:33,04/06/2020 14:33
119,uMobile,SouthAfrica,SouthAfrica: Vodafone,655,N/A,04/06/2020 14:33,04/06/2020 14:33
120,uMobile,Peru,Peru: Telefonica,716,N/A,04/06/2020 14:33,04/06/2020 14:33
121,uMobile,Argentina,Argentina: Telefonica,722,N/A,04/06/2020 14:33,04/06/2020 14:33
122,uMobile,Argentina,Argentina: Personal,722,N/A,04/06/2020 14:33,04/06/2020 14:33
123,uMobile,Brazil,Brazil: Telefonica,724,N/A,04/06/2020 14:33,04/06/2020 14:33
124,uMobile,Chile,Chile: Telefonica,730,N/A,04/06/2020 14:33,04/06/2020 14:33
125,uMobile,Colombia,Colombia: Telefonica,732,N/A,04/06/2020 14:33,04/06/2020 14:33
126,uMobile,Ecuador,Ecuador: Telefonica,740,N/A,04/06/2020 14:33,04/06/2020 14:33
127,uMobile,Uruguay,Uruguay: Telefonica,748,N/A,04/06/2020 14:33,04/06/2020 14:33
131,uMobile,Taiwan,Taiwan: Taiwan Mobile,466,N/A,05/06/2021 0:00,05/06/2021 0:00
135,uMobile,HongKong,SIP CLIENT,454,N/A,23/10/2021 0:00,23/10/2021 0:00
435,uMobile,HongKong,HongKong: HKCSL,454,N/A,04/06/2020 14:33,04/06/2020 14:33
436,uMobile,HongKong,HongKong: Smartone,454,N/A,04/06/2020 14:33,04/06/2020 14:33
437,uMobile,HongKong,HongKong: CMHK,454,N/A,04/06/2020 14:33,04/06/2020 14:33
501,uMobile,Indonesia,Indonesia: Hutchison 3,510,N/A,04/06/2020 14:33,04/06/2020 14:33
502,uMobile,Indonesia,Indonesia: Telkomsel,510,N/A,04/06/2020 14:33,04/06/2020 14:33
503,uMobile,Japan,Japan: Softbank,440,N/A,04/06/2020 14:33,04/06/2020 14:33
504,uMobile,Philippines,Philippines: Globe Telecom,515,N/A,04/06/2020 14:33,04/06/2020 14:33
505,uMobile,Singapore,Singapore: M1,525,N/A,04/06/2020 14:33,04/06/2020 14:33
